iteration,food_quantity,event_poll_ms,ants_advance_ms,mpi_pheromone_sync_ms,evaporation_ms,mpi_evaporation_sync_ms,update_ms,advance_total_ms,mpi_food_sync_ms,mpi_gather_ms,render_ms,blit_ms,iteration_total_ms
67,0,0.000000,33.099000,0.000000,0.000000,0.000000,0.000000,33.099000,0.000000,2.610000,0.000000,0.000000,35.709000
68,0,0.000000,30.562000,0.000000,1.743000,0.000000,0.000000,32.305000,0.000000,1.117000,0.000000,0.000000,33.422000
69,0,0.000000,30.289000,0.000000,0.000000,0.000000,0.000000,30.289000,0.000000,0.000000,0.000000,0.000000,30.289000
70,0,0.000000,33.377000,0.000000,0.000000,0.000000,0.000000,33.377000,0.000000,0.000000,0.000000,0.000000,33.377000
71,0,0.000000,33.091000,0.000000,0.503000,0.000000,0.000000,33.594000,0.000000,1.005000,0.000000,0.000000,34.599000
72,0,0.000000,34.721000,0.000000,0.582000,0.000000,0.000000,35.303000,0.000000,0.586000,0.000000,0.000000,35.889000
73,0,0.000000,33.754000,0.000000,0.000000,0.000000,0.000000,33.754000,0.000000,0.000000,0.000000,0.000000,33.754000
74,0,0.000000,35.439000,0.000000,0.000000,0.825000,0.000000,36.264000,0.000000,1.017000,0.000000,0.000000,37.281000
75,0,0.000000,36.777000,0.530000,0.000000,0.000000,0.000000,37.307000,0.000000,0.000000,0.000000,0.000000,37.307000
76,0,0.000000,40.808000,0.000000,0.000000,0.000000,0.000000,40.808000,0.000000,1.036000,0.000000,0.000000,41.844000
77,0,0.000000,41.107000,0.000000,0.000000,0.000000,0.000000,41.107000,0.000000,1.115000,0.000000,0.000000,42.222000
78,0,0.000000,38.452000,0.000000,0.000000,0.000000,0.000000,38.452000,0.000000,0.000000,0.000000,0.000000,38.452000
79,0,0.000000,40.228000,0.000000,0.000000,0.000000,0.000000,40.228000,0.000000,3.032000,0.000000,0.000000,43.260000
80,0,0.000000,36.075000,0.000000,1.128000,0.000000,0.000000,37.203000,0.000000,0.621000,0.000000,0.000000,37.824000
81,0,0.000000,36.048000,0.000000,0.000000,0.000000,0.000000,36.048000,0.000000,1.622000,0.000000,0.000000,37.670000
82,0,0.000000,35.235000,0.000000,2.182000,0.000000,0.000000,37.417000,0.000000,1.125000,0.000000,0.000000,38.542000
83,0,0.000000,36.446000,0.000000,0.000000,0.000000,0.000000,36.446000,0.000000,0.000000,0.000000,0.000000,36.446000
