iteration,food_quantity,event_poll_ms,ants_advance_ms,mpi_pheromone_sync_ms,evaporation_ms,mpi_evaporation_sync_ms,update_ms,advance_total_ms,mpi_food_sync_ms,mpi_gather_ms,render_ms,blit_ms,iteration_total_ms
65,0,0.000000,40.147000,3.403000,0.000000,1.532000,1.521000,46.603000,0.000000,0.000000,0.000000,0.000000,46.603000
66,0,0.000000,35.152000,1.805000,0.000000,0.000000,4.045000,41.002000,0.000000,0.922000,0.000000,0.000000,41.924000
67,0,0.000000,38.820000,5.392000,0.000000,2.460000,1.511000,48.183000,0.000000,1.188000,0.000000,0.000000,49.371000
68,0,0.000000,41.854000,2.592000,0.000000,2.031000,0.000000,46.477000,0.000000,3.074000,0.000000,0.000000,49.551000
69,0,0.000000,39.003000,1.668000,0.537000,1.704000,0.525000,43.437000,0.000000,1.700000,0.000000,0.000000,45.137000
70,0,0.000000,43.522000,3.670000,0.000000,2.526000,0.395000,50.113000,0.000000,1.624000,0.000000,0.000000,51.737000
71,0,0.000000,39.013000,0.000000,0.000000,3.896000,0.000000,42.909000,0.000000,0.000000,0.000000,0.000000,42.909000
72,0,0.000000,36.870000,2.365000,0.000000,2.925000,0.000000,42.160000,0.000000,2.119000,0.000000,0.000000,44.279000
73,0,0.000000,35.793000,0.521000,2.027000,0.520000,1.519000,40.380000,0.000000,1.061000,0.000000,0.000000,41.441000
74,0,0.000000,36.698000,1.947000,1.013000,0.475000,0.000000,40.133000,0.000000,3.074000,0.000000,0.000000,43.207000
75,0,0.000000,35.709000,1.009000,0.000000,2.066000,1.511000,40.295000,0.000000,0.522000,0.000000,0.000000,40.817000
76,0,0.000000,36.591000,3.299000,0.000000,2.085000,0.000000,41.975000,0.000000,1.028000,0.000000,0.000000,43.003000
77,0,0.000000,36.417000,2.090000,0.000000,0.000000,0.000000,38.507000,0.000000,5.319000,0.000000,0.000000,43.826000
78,0,0.000000,34.743000,3.216000,0.000000,1.086000,0.000000,39.045000,0.000000,2.838000,0.000000,0.000000,41.883000
79,0,0.000000,35.305000,0.545000,0.000000,3.905000,0.998000,40.753000,0.000000,2.286000,0.000000,0.000000,43.039000
80,0,0.000000,35.355000,2.043000,0.000000,2.545000,0.000000,39.943000,0.000000,1.520000,0.000000,0.000000,41.463000
81,0,0.000000,35.259000,2.556000,0.000000,2.979000,1.001000,41.795000,0.000000,0.998000,0.000000,0.000000,42.793000
82,0,0.000000,38.189000,2.509000,2.023000,2.064000,0.000000,44.785000,0.000000,3.002000,0.000000,0.000000,47.787000
83,0,0.000000,37.558000,2.424000,0.000000,2.523000,0.000000,42.505000,0.000000,2.065000,0.000000,0.000000,44.570000
84,0,0.000000,37.068000,2.590000,0.000000,2.511000,1.010000,43.179000,0.000000,0.990000,0.000000,0.000000,44.169000
85,0,0.000000,74.895000,72.180000,1.009000,1.505000,1.009000,150.598000,0.000000,1.458000,0.000000,0.000000,152.056000
86,0,0.000000,66.242000,1.525000,0.000000,0.000000,0.000000,67.767000,0.000000,5.755000,0.000000,0.000000,73.522000
